Cluster Id,Frequency,,
._SmartThings_HubV3_PICS-TemperatureMeasurement.xml,3,,
._SmartThings_HubV3_PICS-Basic.xml,3,,
KONOZ PICS - 0x0003-Identify.xml,2,,
HA121_LUX_KONOZ_thermostat.xml,2,,
._17-02934-001-0x0b05-Diagnostics-Cluster-XML-PICS.xml,2,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_micromoduleRelay_V3.xml,2,,
16-02808-002-0x0102-Window-Covering-Cluster-XML-PICS-SituoSD.xml,2,,
16-02800-001-PRO_BDB-BDB-XML-PICS-SituoSD_EP232.xml,2,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_elko_pushbuttonRel_V1.xml,2,,
DWZB1-16-02801-006-0x0000-Basic-Cluster-ZCL8-XML-PICS.xml,2,,
DWZB1-docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format (1).xml,2,,
DWZB1-16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,2,,
docs-13-0209-21-ZigBee Home Automation 1.2 _Meter+CLuster+Only_ZHA.xml,2,,
BDB-PICS.xml,2,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_WiserL&S_2gang2ChannelRel_V1.xml,2,,
0x0501,2,,
16-02808-002-0x0102-Window-Covering-Cluster-XML-PICS - V2.0.xml,2,,
16-02800-001-PRO_BDB-BDB-XML-PICS - V2.0.xml,2,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_WiserL&S_FLS_2GangDimSwitch_V1.xml,2,,
17-02870-001-Concentration-Measurement-Clusters-XML-PICS.xml,2,,
16-02800-001-PRO_BDB-BDB-XML-PICS (1).xml,2,,
._12_docs-13-0209-15-00ha-Home-Automation-1-2-pics-in-xml_added_Clusters_Project_L_v2.xml,2,,
._16-02805-002-0x0005-Scenes-Cluster-XML-PICS.xml,2,,
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_O2T2V3.xml,2,,
._IAS Zone cluster Only_ZHA.xml,2,,
pics_0x0500_0x0101_0x0201_0x0401_0x0b04.xml,2,,
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_rev5.xml,2,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_WiserL&S_2gang1Channel1-10VDim.xml,2,,
16-02823-010-0x0019-Touchlink-Comm-Cluster-XML-PICS.xml,2,,
0x0019-,2,,
stylesWithEffects.xml,2,,
17-02846-001-0x000A-Time-Cluster-XML-PICS.xml,2,,
Diagnostics Cluster.xml,2,,
docs-13-0209-21-ZigBee-Home-Automation-1.2-Product-Information-iaszone.xml,2,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_PushbuttonShutter_V1.xml,2,,
16-02807-005-0x0008-Level-Control-ZCL8-XML-PICS.xml,2,,
ZUTHConfig.xml,2,,
17-02934-001-0x0b05-Diagnostics-Cluster-XML-PICS.xml,2,,
17-02849-001-0x0202-Fan-Control-Cluster-XML-PICS.xml,2,,
16-02800-003-PRO_BDB-BDB-XML-PICS_Wiser_40_300_Series_Module_Switch_10A_V1.xml,2,,
17-02848-000-PRO_BDB-0x0020-Poll-Control-Cluster.xml,2,,
Time Cluster Poll Control Cluster  IAS Zone cluster & IAS ACE & IAS WD Only_ZHA.xml,2,,
17-02847-001-0x0009-Alarms-Cluster-XML-PICS.xml,2,,
docs-13-0209-18-00ha-ha-1-2-pics-in-xml.xml,2,,
16-02800-003-PRO_BDB-BDB-XML-PICS_Wiser_40_300_Series_Module_Dimmer_V1.xml,2,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_WiserL&S_1gang2ChannelDim_V1.xml,2,,
16-02800-011-PRO-BDB-v3.0.1-XML-PICS (2).xml,2,,
Door Lock - Home Automation PICS.xml,2,,
0x0b01,2,,
meter_docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format.xml,2,,
docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format_Thermostat.xml,2,,
._docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format_Thermostat.xml,2,,
._16-02822-006-0x0019-OTA-ZCL8-XML-PICS.xml,2,,
16-02808-001-0x0102-Window-Covering-Cluster-XML-PICS.xml,2,,
0x0B04,2,,
LUMI HA PICS (Device Temperature& Alarm &Time& Metering&Electrical Measure Cluster Only).xml,2,,
16-02823-010-0x0019-OTA-Cluster-Test-Specification-Philips Hue Product Family 0x0116.xml,1,,
docs-13-0209-21-ZigBee Home Automation 1.2  (PICS)-Relative humidity only.xml,1,,
docs-13-0209-21-ZigBee Home Automation 1.2 PICS - IAS Zone only.xml,1,,
docs-13-0209-21-ZigBee Home Automation 1.2 PICS - Remote.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelElecRelay_V3.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS-SituoSD_EP1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_MotionDimmer_V1.xml,1,,
EP3-0x0000-Basic-PICS.xml,1,,
EP2-HA_PICS.xml,1,,
docs-13-0209-20-00ha-ha-1-2-pics-in.xml,1,,
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_ZE39KL_rev4.xml,1,,
16-02815-002-0x0001-Power-Config-Cluster-XML-PICS_KeyPad.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_pushbuttonDimmer_V1.xml,1,,
16-02804-002-0x0004-Groups-Cluster-XML-PICS-Wirefree_motor_EP1.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS-Wirefree_motor.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1Channel1-10VDimmer_V1.xml,1,,
16-02800-011-PRO-BDB-v3.0.1-XML-PICS-CMB001.xml,1,,
._16-02822-002-0x0019-OTA-Cluster-XML-PICS1.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS-SituoSD_EP1-5.xml,1,,
17-02934-001-0x0b05-Diagnostics-Cluster-XML-PICS_LK_2Gang2ChanRelay_V1.xml,1,,
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_rev3_L9D29R_rev1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_MotionRelay_V1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_elko_pushbuttonDimmer_V1.xml,1,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_HeatTag_V1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_HeatTag_V2.xml,1,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS.xml,1,,
commentsIds.xml,1,,
17-02870-Concentration-Measurement-Clusters-XML-PICS.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_pushbuttonRelay_V3.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_rotary_Dimmer_V1.xml,1,,
17-02870-003-Concentration-Measurement-Clusters-XML-DUT-PICS.xml,1,,
ZigBee Home Automation PICS.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS-A9XMC1D3.xml,1,,
docs-13-0209-20-00ha-ha-1-2-pics-in-xml-A9XMC1D3.xml,1,,
LS03-16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS_rev1.xml,1,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_fuga_MotionRelay_V1.xml,1,,
ATLANTIC_NAVILINK_thermostat_cluster.xml,1,,
16-02800-003-Fireangel-BDB-XML-PICS.xml,1,,
LS01-16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,1,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_IOModule_IEP1.xml,1,,
PICS21-65530-000-0x0008-Level-Control-ZCL8-XML-PICS-Errata.xml,1,,
PICS16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,1,,
IAS_zone.xml,1,,
._IAS_zone.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS-V2.0.xml,1,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS-Wired_motor.xml,1,,
16-02802-003-0x0003-Identify-Cluster-XML-DUT-SRB01A-PICS.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-SRB01A-PICS.xml,1,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_elko_MotionRelay_V1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_MicromoduleShutter_V1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1Channel1-10VDimmer.xml,1,,
footer5.xml,1,,
header5.xml,1,,
footer6.xml,1,,
header6.xml,1,,
docs-13-0209-21-ZigBee Home Automation 1.2 PICS - Motor.xml,1,,
Thermostat-Cluster-PICS-danfoss.xml,1,,
PICS-Relative Humidity.xml,1,,
12_docs-13-0209-15-00ha-Home-Automation-1-2-pics-in-xml_added_Clusters_Project-T_v2.xml,1,,
16-02802-002-0x0003-Identify-Cluster-XML-PICS_SmokeAlarm_IEP2.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang2ChannelRelay_V3.xml,1,,
._Eva Meter Reader - MG21_0x0402-Temp-Meas-Cluster-XML-PICS.xml,1,,
Eva Meter Reader - MG21-PRO-BDB-v3.0.1-XML-PICS_v02.xml,1,,
._Eva Meter Reader - MG21-PRO-BDB-v3.0.1-XML-PICS_v02.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1ChannelDimmer_V1.xml,1,,
0x0b04 ,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelDaliDimmer.xml,1,,
12_ZE39KL_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_rev3.xml,1,,
docs-13-0209-21-ZigBee Home Automation 1.2 Product Information Conformity Statement (PICS) in XML Format - Only IAS Zone.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gangShutter_V1.xml,1,,
FGHC3-PICS-BDB-3-0-1.xml,1,,
docs-13-0209-15-00ha-ha-1-2-pics-in-xml.xml,1,,
16-02801-002-0x0000-Basic-Cluster-XML-PICS_SmartButton.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang2ChannelRelay_V3.xml,1,,
17-02934-001-0x0b05-Diagnostics-Cluster-XML-PICS_WiserL&S_2gang1ChanSh.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelShutter_V1.xml,1,,
17-02924-001-0x0002-Device-Temp-Config-Cluster-XML-PICS.xml,1,,
EVA Scene Selector_0x0000-Basic-Cluster-XML-PICS_v01.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelRelay_V3.xml,1,,
idlock-0x0101-Door-Lock-Cluster-XML-PICS.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang2ChannelElecRelay_V3.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang2ChannelDimmer_V1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1ChannelDaliDimmer_V1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_elko_pushbuttonRelay_V3.xml,1,,
LUMI HA PICS (Device Temperature& Alarm &Time).xml,1,,
17-02934-002-0x0b05-Diagnostics-Cluster-XML-DUT-PICS.xml,1,,
IAS Zone cluster.xml,1,,
docs-13-0209-20-00ha-ha-1-2-pics-in-xml_20190918.xml,1,,
._EVA Meter Reader_0x0019-OTA-Cluster-XML-PICS_v02.xml,1,,
16-02800-001-BDB-BDB-XML-PICS.xml,1,,
LUMI HA PICS (Device Temperature& Alarm &Time)(1).xml,1,,
HA PICS (Diagnostics Cluster Only).xml,1,,
Samsung_WASH_PICS-LevelControl.xml,1,,
Samsung_WASH_PICS-Identify.xml,1,,
Samsung_WASH_PICS-TemperatureMeasurement.xml,1,,
Samsung_WASH_PICS-PowerConfig.xml,1,,
Samsung_WASH_PICS-IAS-WD.xml,1,,
Samsung_WASH_PICS-ZHA-1.2.xml,1,,
Samsung_WASH_PICS-Time.xml,1,,
Samsung_WASH_PICS-Poll-Control.xml,1,,
Samsung_WASH_PICS-OnOff.xml,1,,
Samsung_WASH_PICS-ColorControl.xml,1,,
Samsung_WASH_PICS-OTA.xml,1,,
Samsung_WASH_PICS-Basic.xml,1,,
Samsung_WASH_PICS-Groups.xml,1,,
Samsung_WASH_PICS-Diagnostics.xml,1,,
home_gateway-0x0000-Basic-Cluster-XML-PICS.xml,1,,
LS02-16-02800-011-PRO-BDB-v3.0.1-XML-PICS.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_Wiser_40_300_Series_Module_Switch_2A_V1.xml,1,,
16-02815-002-0x0001-Power-Config-Cluster-XML-PICS_SmartSiren.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_micromodule_Dimmer_V1.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1ChannelElecRelay_V3.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang2ChannelDimmer_V4.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang1ChannelDimmer.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS(2).xml,1,,
IAS ACE Cluster  IAS Zone & Diagnostics Only_ZHA.xml,1,,
docs-13-0209-21-ZigBee Home Automation 1.2 PICS - IAS Zone only - Server.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_elko_rotaryDimmer_V1.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS-A9XMC2D3.xml,1,,
docs-13-0209-20-00ha-ha-1-2-pics-in-xml-A9XMC2D3.xml,1,,
._docs-13-0209-20-00ha-ha-1-2-pics-in-xml.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_2gang2ChannelElecRelay_V3.xml,1,,
Danfoss_Ally_Icon_thermostat_cluster.xml,1,,
EVA Water Sensor_0x0402-Temp-Meas-Cluster-XML-PICS_v01.xml,1,,
pics_0x0501_0x0009_0x0101_0x0201_0x0401_0x0702_0x0b04.xml,1,,
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_rev3_DW84JL.xml,1,,
LUMI HA PICS (Device Temperature& Alarm &Time& Metering&Electrical Measure Cluster Only)_2.xml,1,,
EP1-0x0402-Temperature-Measurement-PICS.xml,1,,
._mains_power_outlet-0x0019-OTA-Cluster-XML-PICS_v2.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_WiserL&S_1gang1ChannelRelay_V3.xml,1,,
Poll Control Cluster Only_ZHA.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS_REPEATER.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS-Wired_motor.xml,1,,
21-65316-002-0x0201-Thermostat-Cluster-XML-PICS.xml,1,,
ARISTON_REM4-BDB-v3.0.1-XML-PICS.xml,1,,
16-02821-002-0x0402-Temp-Meas-Cluster-XML-PICS.xml,1,,
docs-13-0209-21-ZigBee Home Automation 1.2 Thermostat Cluster PICS.xml,1,,
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_DW84JL_rev4.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_Elko_micromodule_Dimmer_V1.xml,1,,
17-02870-003-0X040C-0X042C-Concentration-Measurement-Clusters-XML-PICS.xml,1,,
Danfoss_Ally_eTRV_thermostat_cluster.xml,1,,
._Poll Control Cluster  IAS Zone & Diagnostics Only_ZHA.xml,1,,
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_ZE39KL_rev5.xml,1,,
16-02800-001-PRO_BDB-BDB-XML-PICS_corrected v6.xml,1,,
16-02800-003-PRO_BDB-BDB-XML-PICS_elko_MicromoduleShutter_V1.xml,1,,
16-02800-011-PRO-BDB-v3.0.1-XML-PICS(4).xml,1,,
12_docs-13-0209-15-00ha-ha-1-2-pics-in-xml_added_Clusters_L9D29R_rev4.xml,1,,
._16028220020x0019otaclusterxmlpics-2.xml,1,,
16028220020x0019otaclusterxmlpics-2.xml,1,,
LEEDARSON_TRV_thermostat_cluster-20210123.xml,1,,
._EVA Door-Window Sensor-MG22_0x0001-Power-Config-Cluster-XML-PICS_v01.xml,1,,
EVA Door-Window Sensor-MG22_PRO-BDB-v3.0.1-XML-PICS_v02.xml,1,,
._EVA Door-Window Sensor-MG22_PRO-BDB-v3.0.1-XML-PICS_v02.xml,1,,
Samsung_Lux_PICS-Identify.xml,1,,
Samsung_Lux_PICS-Groups.xml,1,,
Samsung_Lux_PICS-IAS-WD.xml,1,,
Samsung_Lux_PICS-TemperatureMeasurement.xml,1,,
Samsung_Lux_PICS-ZHA-1.2.xml,1,,
Samsung_Lux_PICS-PowerConfig.xml,1,,
Samsung_Lux_PICS-OTA.xml,1,,
Samsung_Lux_PICS-Poll-Control.xml,1,,
Samsung_Lux_PICS-ColorControl.xml,1,,
Samsung_Lux_PICS-OnOff.xml,1,,
Samsung_Lux_PICS-LevelControl.xml,1,,
Samsung_Lux_PICS-Basic.xml,1,,
Samsung_Lux_PICS-Time.xml,1,,
Samsung_Lux_PICS-Diagnostics.xml,1,,
